index,o_label,keywords,score,adjusted_score,rank,label
64,2,"['정보', '계측기', '상기 계측기', '상기', '모니터링', '정보 상기', '모드 정보', '통신', '스위치', '모드']",-6.404725178,-16.40472518,162,3
65,2,"['상기', '반도체', '활성', '상기 활성', '발광', '반도체 상기', '상기 반도체', '전극', '상기 전극', '전극 측면']",-5.944784982,-15.94478498,150,3
66,2,"['상기', '반도체', '소자 로드', '반사', '로드', '상기 반사', '기울기', '상기 반도체', '전극', '절연']",-4.98054361,-14.98054361,134,3
67,2,"['상기', '전극', '절연', '발광', '발광 소자', '화소 전극', '소자', '상기 절연', '화소', '공통 전극']",-6.892377333,-16.89237733,170,3
68,2,"['불량', '상기', '불량 분류', '특징 불량', '이미지', '분류', '상기 불량', '상기 이미지', '이미지 기초', '모델']",-6.587046735,-16.58704674,166,3
69,2,"['상기', '잉크', '모듈', '전하', '상기 모듈', '상기 전하', '상기 잉크', '모듈 상기', '제조 장치', '유동']",-5.494645706,-15.49464571,144,3
70,2,"['상기', '조정', '반도체', '상기 조정', '상기 반도체', '영역', '표시', '발광', '발광 소자', '소자']",-5.942493722,-15.94249372,149,3
71,2,"['상기', '공통 전극', '반도체', '공통', '발광 소자', '발광', '소자', '상기 공통', '전극', '상기 반도체']",-6.553911623,-16.55391162,164,3
72,2,"['투과 영역', '단자', '투과', '레이저', '상기 투과', '상기', '레이저 장치', '영역', '공간 분할', '분할 광학']",-2.365926205,-12.3659262,105,2
73,2,"['레이어', '상기 레이어', '레이어 상기', '상기', '레이어 포함', '레이어 레이어', '발광 패턴', '중량', '발광', '반도체']",-5.816780924,-15.81678092,147,3
74,2,"['공사', '건설', '데이터', '관리', '목록', '정보', '상황', '분석', '상기', '설계']",-6.810190286,-16.81019029,168,3
75,2,"['차폐', '상기 차폐', '상기', '차폐 상기', '반도체', '상기 반도체', '발광', '반도체 상기', '상기 발광', '차폐 투과']",-8.355345262,-18.35534526,194,4
76,2,"['상기 모듈', '모듈', '모듈 레이', '모듈 상기', '상기', '레이', '결정화', '레이저 결정화', '결정화 장치', '특징']",-7.223560903,-17.2235609,180,4
77,2,"['반송', '레일', '상기 레일', '상기 반송', '상기', '컨베이어', '주행 경로', '특징 반송', '반송 자동', '자동 정렬']",-6.181581627,-16.18158163,157,3
78,2,"['중간 보호', '구조', '보호 구조', '상기', '반도체 구조', '보호', '중간', '서브 화소', '상기 중간', '반도체']",-6.572772377,-16.57277238,165,3
79,2,"['압력 검출', '검출', '압력', '검출 시트', '시트', '상기 압력', '상기', '검출 방법', '단계', '장치 압력']",-3.696674977,-13.69667498,112,2
80,2,"['벨트', '복수 아일랜드', '텐션', '벨트 텐션', '아일랜드', '감지', '상기', '봉지 상기', '마스터', '봉지']",-5.488434446,-15.48843445,143,3
81,2,"['절연', '상기 절연', '절연 상기', '온도', '주행', '상기', '주행 온도', '마스터', '절연 배치', '액티브']",-5.178432888,-15.17843289,137,3
82,2,"['유지 보수', '전환', '보수', '유지', '잉크젯', '스토커', '스토커 정지', '정지 유지', '보수 전환', '전환 시스템']",-6.238324625,-16.23832463,158,3
83,2,"['상기', '소부', '변환', '마스크', '적색', '소부 상기', '녹색', '상기 적색', '상기 녹색', '변환 상기']",-3.82737843,-13.82737843,116,2
84,2,"['전원 배선', '상기', '배선', '전원', '상기 전원', '화소', '플레인', '전극', '구동', '캐소드 전극']",-7.116120096,-17.1161201,177,4
85,2,"['상기', '조절 물질', '백라이트 유닛', '백라이트', '지대', '상기 조절', '지대 상기', '상기 지대', '유닛', '유닛 상기']",-4.795287266,-14.79528727,131,3
86,2,"['아일랜드', '투명 전극', '아일랜드 부들', '투명', '하부 투명', '부들', '상기', '상기 아일랜드', '소수성 절연', '표시']",-4.734260074,-14.73426007,130,3
87,2,"['발광 유닛', '치화', '페닐기', '전하', '전하 생성', '헤테로', '알킬기', '오레', '클로', '페닐기 페닐기']",-7.725159527,-17.72515953,187,4
88,2,"['라인', '상기 라인', '라인 상기', '상기', '오버랩', '전원 라인', '라인 오버랩', '발광 표시', '상기 전원', '전원']",-4.080058974,-14.08005897,117,2
89,1,"['상기', '액정 표시', '액정', '배향 제어', '표시 영역', '영역', '배향', '상기 배향', '아웃 배선', '표시']",4.129194452,4.129194452,66,1
90,2,"['방열 패드', '방열', '필름', '상기 방열', '베이스 필름', '상기', '패드', '돌출부', '패키지', '필름 패키지']",-5.009798123,-15.00979812,135,3
91,2,"['발광 표시', '상기', '유기 발광', '오목', '유기', '보호막', '트렌치', '발광', '상기 보호막', '상기 트렌치']",-8.267154469,-18.26715447,193,4
92,2,"['리프트', '리프트 오프', '오프', '상기', '배리', '유기', '발광 표시', '유기 기능', '유기 발광', '보조 전극']",-8.161793953,-18.16179395,191,4
93,2,"['상기', '컬러', '컬러 필터', '필터', '안료', '상기 유기', '상기 컬러', '유기', '화소', '표시']",-6.07646105,-16.07646105,154,3
94,2,"['어셈블리 상기', '어셈블리', '마스크 어셈블리', '마스크', '증착 마스크', '오픈 마스크', '오픈', '보조 패턴', '증착', '상기 오픈']",-2.895331039,-12.89533104,108,2
95,2,"['센서', '상기 센서', '터치', '센서 주사', '주사', '상기', '감지 모드', '센서 화소', '터치 센서', '감지']",-5.480528938,-15.48052894,142,3
96,2,"['신호 패드', '패드', '도전 패턴', '상기 신호', '상기', '도전', '신호', '패턴', '배선', '상기 도전']",-1.795995741,-11.79599574,103,2
97,1,"['서브 영역', '상기', '영역', '표시', '표시 영역', '서브', '방지 부재', '반사 방지', '상기 표시', '상기 영역']",4.03246663,4.03246663,69,1
98,2,"['그룹', '치화', '클로', '헤테로', '케니', '알킬기', '헤테로 클로', '클로 케니', '선택', '클로 알킬기']",-7.032012347,-17.03201235,174,3
99,2,"['커버 패널', '상기', '커버', '패널', '배선', '트레이스', '상기 배선', '영역', '그라운드', '패널 상기']",-4.678620622,-14.67862062,127,3
100,2,"['패드', '상기', '배선 패드', '돌출부', '배선', '상기 돌출부', '패드 상기', '돌출부 상기', '상기 배선', '메인 패드']",-7.093756676,-17.09375668,175,4
101,2,"['치화', '탄소 이상', '비치', '치화 비치', '고리 형성', '탄소', '화학식', '고리', '형성 탄소', '이상 이하']",-7.857667861,-17.85766786,189,4
102,2,"['그룹', '치화', '헤테로', '비치', '치화 비치', '클로', '케니', '알킬기', '선택', '헤테로 클로']",-6.942991418,-16.94299142,171,3
103,2,"['필름', '상기', '탄부', '상기 필름', '부착', '터치', '상기 부착', '필름 상기', '상기 탄부', '표시']",-5.881599866,-15.88159987,148,3
104,2,"['감압', '건조 장치', '감압 건조', '건조', '상기', '상기 지지', '지지', '전원', '증착 물질', '상기 전원']",-5.368957162,-15.36895716,141,3
105,2,"['터치', '상기', '상기 터치', '터치 도전', '도전', '컬러', '컬러 필터', '터치 연결', '필터', '도전 상기']",-6.339260857,-16.33926086,160,3
106,2,"['상기', '더블 표시', '더블', '오프닝', '윈도우', '상기 윈도우', '복수 오프닝', '상기 영역', '영역', '표시']",-6.051001005,-16.05100101,153,3
107,2,"['배선', '상기', '서브 배선', '정렬 배선', '메인 배선', '화소', '표시', '전극', '메인', '정렬']",-6.250373948,-16.25037395,159,3
108,2,"['표본', '표본 블록', '블록', '상기 표본', '분류', '분류 방법', '상기', '엔트로피', '부호화', '엔트로피 부호화']",-3.640041965,-13.64004196,111,2
109,2,"['비치', '치화 비치', '치화', '화합물', '화학식', '화합물 화합물', '이상 이하', '탄소 이상', '탄소', '이하']",-8.088716921,-18.08871692,190,4
110,2,"['상기', '구부', '상기 구부', '기판 절단', '스테이지', '비치', '치화 비치', '치화', '절단', '구부 상기']",-4.804204128,-14.80420413,132,3
111,2,"['상기', '접촉 전극', '접촉', '전극', '상기 접촉', '상기 전극', '전극 가지', '발광 소자', '전극 상기', '가지']",-5.700372248,-15.70037225,145,3
112,1,"['측정', '상기', '특징 측정', '휘도', '측정 장치', '전원', '상기 휘도', '측정 구간', '구간 상기', '구간']",5.31423837,5.31423837,52,1
113,2,"['무리', '유기 발광', '상기', '상기 무리', '유기', '기능', '하부 기능', '기능 두께', '확률', '발광']",-9.794788473,-19.79478847,200,4
114,2,"['내부 뱅크', '상기', '뱅크', '전극', '상기 전극', '상기 내부', '전압 배선', '내부', '뱅크 상기', '상기 전압']",-7.340295287,-17.34029529,183,4
115,2,"['고리', '화학식', '화학식 화학식', '일기', '방향 고리', '지방', '융합', '헤테로', '독립', '헤테로 고리']",-6.611401817,-16.61140182,167,3
116,2,"['상기', '단층', '변환', '단층 상기', '변환 상기', '발광 소자', '소자', '차광 부재', '커버', '박막 트랜지스터']",-3.708955413,-13.70895541,113,2
117,2,"['기능', '유기 발광', '하부 기능', '화소 전극', '기능 두께', '유기', '상기', '상부 기능', '전극', '화소']",-10.68229369,-20.68229369,201,4
118,1,"['기판 열처리', '스테이지 유닛', '열처리 장치', '블록', '열처리', '상기', '상기 블록', '상면', '외측 상면', '스테이지']",7.25685728,7.25685728,24,1
119,1,"['미러', '상기 미러', '미러 유닛', '전자석', '상기', '영구 자석', '유닛', '상기 전자석', '영구', '회전']",6.007385551,6.007385551,45,1
120,1,"['도금', '도금 지그', '상기', '지그', '전기 도금', '상기 커버', '금액', '지그 상기', '커버', '오목']",5.663070466,5.663070466,48,1
121,1,"['사광', '편광', '상기', '상기 사광', '사광 제공', '표시', '상기 표시', '사광 상기', '결함', '표시 장치']",3.988971201,3.988971201,70,1
122,1,"['아크릴', '아크릴 레이', '레이', '올리고머', '레이 올리고머', '중량', '화학식', '특징 박막', '기판 제조', '조성']",4.665491668,4.665491668,61,1
123,1,"['서브 전극', '상기 영역', '서브', '상기', '영역', '전극', '영역 서브', '영역 패턴', '상기 서브', '영역 각각']",-0.00821015,-0.00821015,92,2
124,1,"['레이저', '상기 레이저', '상기', '레이저 성부', '사부', '표시', '장치', '장치 제조', '제조 장치', '상기 사부']",2.869006121,2.869006121,76,2
125,1,"['상기', '패드', '상기 패드', '패드 절연', '전극', '절연', '상기 전극', '발광 소자', '패드 금속', '소자']",-1.174622625,-1.174622625,94,2
126,1,"['상기', '절연 패턴', '발광 소자', '패드', '소자', '연막', '절연', '상기 연막', '단계', '발광']",-2.391766629,-2.391766629,97,2
127,1,"['가스', '진부', '스테이지', '상기', '상기 스테이지', '레이저', '상기 진부', '가스 사부', '레이저 공부', '공부']",8.504015814,8.504015814,10,1
128,1,"['광학 패턴', '광학', '상기', '상기 광학', '패턴', '표시', '영역', '발광 소자', '발광', '소자']",0.154458695,0.154458695,87,2
129,1,"['전달 배선', '레이', '상기 전달', '상기', '전달', '레이 기판', '배선', '화소 레이', '특징 표시', '상기 레이']",4.041210034,4.041210034,67,1
130,1,"['상기', '포터', '플레이트 조립', '상기 포터', '가이드', '상기 가이드', '플레이트', '증착', '성체', '조립']",8.772204351,8.772204351,9,1
131,1,"['캐소드 타겟', '타겟', '요크', '상기 캐소드', '캐소드', '자석', '상기 자석', '상기', '트론', '그네 트론']",6.469483671,6.469483671,39,1
